time,rho,rho_dot,theta,theta_dot,phi,phi_dot,u_rho,u_theta,u_phi,rho_ddot,theta_ddot,phi_ddot
0.9141188362661485,4.416438682368462,-0.18282374952755553,0.027857791549490692,0.06181202874583641,0.7715345370641785,-0.030615053764136937,-0.999999849470589,0.9999999330565821,-0.9999997999683377,-0.19999996989411778,0.07147335257414325,-0.034745918769870696
1.0055307198927634,4.398890805931434,-0.20110612350084348,0.033808498053447704,0.06840296506537345,0.7685902326922017,-0.033809591899321124,-0.9999998337046054,0.9999999325178833,-0.9999997877678155,-0.19999996674092108,0.07275490164145741,-0.03515481668430034
1.0969426035193783,4.379671703265517,-0.2193884971858918,0.04036726274309837,0.07511810686662371,0.7653521382326358,-0.037043580628887435,-0.999999815244978,0.9999999320638318,-0.999999774380423,-0.19999996304899562,0.07419246920345876,-0.035609363281247
1.1883544871459932,4.358781374399309,-0.2376708705334543,0.04754610538780032,0.0819721827263023,0.7618164540865817,-0.040321279645742614,-0.9999997933690216,0.9999999316954126,-0.9999997595930552,-0.19999995867380432,0.07579649654584837,-0.036111493685288445
1.279766370772608,4.336219819366516,-0.25595324348107235,0.05535843773859397,0.08898094160404381,0.7579789828900436,-0.04364713520537089,-0.999999767073533,0.9999999314132823,-0.9999997431382152,-0.1999999534147066,0.07757889369317371,-0.0366633562374305
1.3711782543992228,4.3119870382073895,-0.2742356159479464,0.06381916316870524,0.09616129471243835,0.753835111555042,-0.04702580007711102,-0.9999997349244811,0.9999999312177411,-0.9999997246757819,-0.19999994698489623,0.0795532101778012,-0.03726732260659438
1.4625901380258377,4.286083030970767,-0.29251798782705946,0.07294479003312375,0.10353147422575333,0.749379791444545,-0.050462154423418566,-0.9999996947985147,0.999999931108702,-0.9999997037669515,-0.19999993895970294,0.08173483332026626,-0.03792599792383269
1.5540020216524526,4.258507797717042,-0.31080035897257463,0.08275356040698767,0.11111121152619505,0.7446075165968126,-0.0539613275916591,-0.9999996434130985,0.999999931085656,-0.9999996798361318,-0.1999999286826197,0.08414121815418425,-0.03864223053449023
1.6454139052790675,4.229261338522682,-0.32908272917864234,0.0932655961274147,0.11892193809534977,0.7395122999180426,-0.05752872075965729,-0.9999995754118641,0.9999999311476342,-0.9999996521137654,-0.19999991508237283,0.08679215382215676,-0.03941912081868165
1.7368257889056822,4.198343653487449,-0.34736509814148603,0.10450306436872718,0.12698701263509693,0.7340876472701209,-0.0611700303177422,-0.9999994814221245,0.9999999312931647,-0.9999996195479394,-0.19999989628442488,0.08971007206248081,-0.04026002834165263
1.828237672532297,4.165754742746706,-0.36564746538597404,0.11649036533336458,0.13533197855642573,0.7283265293943982,-0.06489127179184406,-0.9999993434272584,0.9999999315202243,-0.9999995806629385,-0.19999986868545166,0.09292040430995603,-0.04116857635097171
1.919649556158912,4.1314946064943,-0.38392983010758835,0.12925434504771363,0.1439848566166752,0.7222213516348055,-0.06869880400857432,-0.9999991218317292,0.9999999318261832,-0.9999995333234903,-0.19999982436634584,0.0964519949560462,-0.04214865232238852
2.011061439785527,4.095563245030711,-0.4022121907779102,0.14282453672215933,0.15297647822685304,0.7157639214568996,-0.07259935306694001,-0.9999987094245499,0.9999999322077414,-0.9999994743222219,-0.19999974188491,0.10033757945923832,-0.043204402852464165
2.1024733234121418,4.05796065888572,-0.4204945439084497,0.15723343467744053,0.16234086580219345,0.7089454138070143,-0.07660003550337025,-0.9999976807523594,0.9999999326608544,-0.9999993986136633,-0.1999995361504719,0.10461433726473603,-0.04434022068092087
2.1938852070387567,4.01868684926351,-0.4387768782324198,0.17251680546546752,0.17211566750158394,0.7017563344218596,-0.08070837980566856,-0.9999910254380514,0.9999999331806344,-0.9999992977827385,-0.1999982050876103,0.10932453086571124,-0.04556072096619928
2.2852970906653716,3.9777418225849193,-0.45705909088146074,0.1887140415334135,0.18234265479577283,0.6941864812892635,-0.08493234512970746,0.9999948198853058,0.9999999337317739,-0.9999991563644737,0.19999896397706116,0.1145162435390242,-0.0468707029738713
2.3767089742919865,3.9367967990770185,-0.43877680886091747,0.20586846903075276,0.19306410344796232,0.6862249429219376,-0.08927864578705814,0.9999979641660771,0.9999999341912968,-0.9999989421884306,0.19999959283321542,0.12010507748809891,-0.04821923051355342
2.468120857918601,3.8975229960330116,-0.42049446935547,0.22402671387511297,0.2043096214717065,0.6778604912991382,-0.09374739570287749,0.999998701576832,0.9999999345254958,-0.999998581794009,0.1999997403153664,0.12598621347338454,-0.049548985534137585
2.559532741545216,3.8599204166964896,-0.4022121163684047,0.24323793700837815,0.21610704309751091,0.6690820180118109,-0.09833666651515856,0.9999990322890813,0.9999999347289873,-0.9999978557051731,0.19999980645781626,0.13218466238762328,-0.05085531900605263
2.6509446251718307,3.8239890619599897,-0.3839297573351346,0.2635539537455121,0.2284866718740638,0.6598786102664193,-0.10304410780833217,0.9999992195744069,0.9999999347948351,-0.9999956669939462,0.19999984391488138,0.138729555107452,-0.05213360707097005
2.7423565087984456,3.789728932256357,-0.3656473948778443,0.28502947772068055,0.2414816908297714,0.650239589297609,-0.10786695146870082,0.9999993396563904,0.9999999347016658,-0.17160014035844026,0.19999986793127808,0.14565489747139287,-0.009159985095037845
2.8337683924250605,3.7571400278424325,-0.3473650302251703,0.30772235464737663,0.2551263622674874,0.6403407057384717,-0.10871381828530349,0.9999994228051573,0.9999999343673109,0.9999955491986974,0.19999988456103146,0.15292401477528333,0.05458886724190188
2.9251802760516754,3.7262223488880375,-0.3290826640523395,0.33169320715883105,0.26944510655216664,0.6306326889707059,-0.103670014338327,0.9999994833584982,0.9999999336788838,0.999997742026088,0.19999989667169965,0.16036398376652802,0.0557574800068965
3.0165921596782903,3.6969758955132517,-0.31080029677244986,0.35700410253060166,0.28444558826943617,0.6213905574847097,-0.09852139747867761,0.9999995290377409,0.9999999325750727,0.9999984677390544,0.19999990580754817,0.16783265274527773,0.05688136513212451
3.108004043304905,3.6694006678068445,-0.2925179286574352,0.38371741904720047,0.30012843081262736,0.6126237004421263,-0.09327222298851712,0.9999995643849194,0.9999999309989028,0.9999988265383926,0.19999991287698388,0.175285660405818,0.0579569821057687
3.19941592693152,3.643496665836523,-0.2742355598961902,0.4118954017348848,0.3164900430353274,0.6043411036130494,-0.08792705711789625,0.9999995922446937,0.9999999288756376,0.9999990383848206,0.19999991844893875,0.18267521906880824,0.05898102229175907
3.290827810558135,3.619263889655103,-0.2559531906256024,0.4415997633316473,0.3335223243044235,0.5965513219385155,-0.0824907552628096,0.9999996144899751,0.9999999261062975,0.9999991765670783,0.199999922897995,0.18995053141220383,0.05995046170336484
3.38223969418475,3.5967023393044535,-0.23767082094831804,0.47289126017978284,0.3512124123403887,0.5892624542999716,-0.07696843559116155,0.9999996324049307,0.9999999225580679,0.9999992724771227,0.19999992648098613,0.1970583097441672,0.06086257338970535
3.4736515778113644,3.575812014818133,-0.2193884509435058,0.5058292473784499,0.3695424831311833,0.5824821207422971,-0.07136545183359122,0.9999996469005017,0.9999999180496997,0.9999993417994364,0.19999992938010033,0.2039433953565741,0.06171492906238943
3.5650634614379793,3.5565929162232233,-0.20110608067368005,0.5404712183674628,0.38848961182254715,0.5762174421822429,-0.06568736620622476,0.999999658642202,0.9999999123285644,0.9999993932406877,0.19999993172844038,0.21054947195489943,0.06250539371917184
3.656475345064594,3.5390450435416496,-0.18282371018918817,0.5768723348969645,0.4080257027631627,0.570475022561849,-0.05993992307594583,0.9999996681293223,0.999999905033213,0.9999994320225882,0.19999993362586446,0.21681986328417022,0.06323211461629347
